ko,PCa_b,ADP90
3.583824949339032,8.103114423599839e-05,434.0
4.985045807436109,4.7325830220028764e-05,378.0
4.034255897626281,6.478610446934402e-05,412.0
3.381264066323638,2.86219893142283e-05,390.0
3.0117134731262922,1.5725518123030665e-05,384.0
4.42043855600059,5.202234268446267e-05,393.0
4.6222966108471155,3.4448418470814824e-05,370.0
3.961192110553384,6.82821689106226e-05,416.0
3.8417579475790262,5.523968074728549e-05,407.0
4.7427221480757,2.1266540878236296e-05,351.0
4.292175365611911,7.368719055575133e-05,414.0
3.1389538180083036,3.780212480832637e-05,407.0
3.2537742163985968,4.178464057181776e-05,408.0
4.162737121805549,7.78136392801702e-05,419.0
4.8643519300967455,2.5268449869722132e-05,354.0
3.703495981171727,5.938124971722066e-05,414.0
3.651063384488225,3.201268083673716e-05,387.0
4.812292816117406,7.008578311909736e-05,402.0
4.230917265638709,1.768167045225203e-05,356.0
3.3213367369025946,4.94678460739255e-05,414.0
3.1919897329062223,6.296559886333347e-05,430.0
4.34558524005115,3.104083920155466e-05,371.0
4.674183780327439,8.360252807174623e-05,414.0
3.772601479664445,4.5386569809883836e-05,399.0
3.893141308799386,2.3448818756982687e-05,371.0
4.554604748263955,6.17988256111443e-05,399.0
4.47298595122993,4.435729970481992e-05,384.0
3.0636577885597944,7.587350515906513e-05,444.0
3.4499322529882193,7.1252322721079e-05,430.0
4.103282546624541,3.9604467631101616e-05,386.0
4.932124214246869,5.719710263681413e-05,389.0
3.5303007531911135,1.8711174207523465e-05,373.0
3.5398952960968018,4.5781959940463315e-05,405.0
4.888319909572601,8.207931829874218e-05,409.0
4.0919175036251545,2.948787031953037e-05,374.0
3.4955080039799213,6.332215507772566e-05,422.0
3.116161238402128,4.989739972424508e-05,421.0
4.456585239619017,1.6192620026662947e-05,349.0
4.500210635364056,6.863537051041424e-05,406.0
3.911433629691601,3.2471789152145386e-05,382.0
3.782202459871769,1.940954190005362e-05,368.0
4.630372084677219,5.543907440525294e-05,392.0
4.334214713424444,3.7876160957634456e-05,380.0
3.2375700138509274,7.19894951235205e-05,436.0
3.373844239860773,7.653767699633539e-05,436.0
4.214511547237635,4.256507144567371e-05,387.0
4.7578917890787125,5.996799708601833e-05,394.0
3.6693616658449173,2.4083465135440235e-05,377.0
3.7263039499521255,6.676346211951972e-05,420.0
4.815207794308662,3.483923677612842e-05,367.0
4.142066810280085,5.238346863795817e-05,399.0
3.3007816411554813,1.416804417294264e-05,373.0
3.1812308095395565,2.713744812902808e-05,394.0
4.278249707072973,6.521108420823515e-05,407.0
4.702458836138248,4.7789514533028014e-05,384.0
3.853670872747898,7.957622447308899e-05,427.0
3.9840079471468925,5.761871224527062e-05,407.0
4.573143653571606,2.5971391473680735e-05,360.0
4.399757515639067,7.854623568502068e-05,415.0
3.05873067304492,4.00608410525769e-05,412.0
3.423551309853792,3.6005393567278985e-05,397.0
4.020319033414125,7.435593421828748e-05,419.0
4.944773197174072,2.1896617517590524e-05,348.0
3.5957462191581726,5.3413357290223244e-05,411.0
3.61268712207675,2.675562561747432e-05,382.0
4.959097575396299,5.840668479238451e-05,389.0
4.005499117076397,4.0845141953572635e-05,389.0
3.407075457274914,7.933427498933673e-05,437.0
3.0442386865615845,7.46616532586217e-05,444.0
4.383014738559723,3.631485101093352e-05,377.0
4.5893903858959675,5.371914308775962e-05,391.0
3.9989654310047626,2.220614171844721e-05,367.0
3.8703908659517765,3.5148226397827267e-05,386.0
4.717034611850977,6.706978145313264e-05,401.0
4.263192906975746,1.4476967037439348e-05,350.0
3.1650223284959793,5.2689721214368944e-05,422.0
3.2865565791726112,6.599858997647464e-05,430.0
4.125087656080723,2.7922283609181646e-05,372.0
4.831706430763006,8.036366348412634e-05,409.0
3.741040077060461,4.857428325597942e-05,403.0
3.683602001518011,5.622224043381215e-05,412.0
4.774886216968298,2.0198582562401892e-05,348.0
4.198028184473515,7.277272790928186e-05,415.0
3.3591233864426613,3.866526837718487e-05,402.0
3.2208652645349503,4.286972237077356e-05,410.0
4.319654181599617,7.684820255522431e-05,415.0
4.645444128662348,2.438818281774223e-05,357.0
3.7984261848032475,6.027858940210939e-05,413.0
3.9259103424847126,8.238937603567542e-05,427.0
4.516938138753176,4.608721115884186e-05,385.0
4.440323233604431,6.363214605745674e-05,403.0
3.1011884808540344,2.9793054780706766e-05,399.0
3.478551857173443,1.698119391013682e-05,372.0
4.077577881515026,5.0681167089164267e-05,398.0
4.9031245820224285,3.3260296278417114e-05,364.0
3.556355904787779,6.941907111813129e-05,426.0
3.514069167897105,6.0943093982309107e-05,420.0
4.917060045525432,2.259575741623342e-05,349.0
4.117850938811898,7.501757325862349e-05,418.0
3.4666291270405054,4.350403809246421e-05,405.0
3.0783712435513735,3.936397089880705e-05,411.0
4.489476697519422,7.101449627687038e-05,408.0
4.537617718800902,1.847047720362246e-05,350.0
3.8788935896009207,5.6959075920999056e-05,408.0
3.7561487462371588,6.984828993935883e-05,422.0
4.659371247515082,3.1771449253678324e-05,366.0
4.359916986897588,4.923055316579342e-05,391.0
3.2089537400752306,1.744063914079964e-05,380.0
3.33631687797606,3.018811216835678e-05,393.0
4.247171873226762,6.210913342681528e-05,405.0
4.795557929202914,4.4534043048292406e-05,379.0
3.636594070121646,8.274626290683448e-05,434.0
3.6885311137884855,2.040974113416672e-05,372.0
4.848112596198916,5.43876875217706e-05,388.0
4.179487282410264,3.694512479265034e-05,382.0
3.2682588044553995,7.283499705863e-05,436.0
3.155421795323491,7.757207443264127e-05,443.0
4.307003142312169,4.154788224284351e-05,384.0
4.728405645117164,5.913948459808528e-05,394.0
3.8248091842979193,2.5031491269141437e-05,374.0
3.946463381871581,4.708940515552462e-05,397.0
4.6057905908674,8.078884453770519e-05,413.0
4.437410311773419,2.8385764521330595e-05,366.0
3.025945918634534,6.454400504265726e-05,437.0
3.397480407729745,5.1170683766499163e-05,414.0
4.049304822459817,1.4867984571278095e-05,355.0
4.97046217136085,6.743071026426554e-05,397.0
3.5671128313988447,3.3591085190668705e-05,391.0
3.577663965523243,7.362626906742156e-05,429.0
4.979487545788288,3.7324633815109734e-05,367.0
4.055919345468283,5.488617874008418e-05,403.0
3.402568932622671,2.1047617609396578e-05,380.0
3.017271224409342,2.5726647770747544e-05,397.0
4.426599029451609,5.9427151095837365e-05,400.0
4.600991293787956,4.2022856932848694e-05,379.0
3.939528211951256,7.81821613970846e-05,424.0
3.8199647963047028,6.496023078706862e-05,416.0
4.721546977758408,2.8934974654361607e-05,361.0
4.298221904784441,8.152779115621746e-05,419.0
3.1446265168488026,4.741873388436437e-05,417.0
3.2749498300254345,3.4116273552894593e-05,399.0
4.184530716389418,6.809315599758924e-05,411.0
4.858679734170437,1.5651774036481977e-05,340.0
3.6974499449133873,5.1540582359552384e-05,407.0
3.625859461724758,4.3894761412188416e-05,401.0
4.786715053021908,7.581471872773767e-05,406.0
4.240373652428389,2.3240575467020276e-05,363.0
3.3314111046493053,6.145173138265312e-05,425.0
3.2175670452415943,5.7236596497491e-05,425.0
4.370788712054491,1.9158691868901253e-05,355.0
4.664108902215958,7.161870952022077e-05,405.0
3.7631445825099945,3.982773155231774e-05,394.0
3.883555218577385,1.800106331032515e-05,364.0
4.544660076498985,4.965265263129771e-05,388.0
4.498075429350138,3.2107719818845395e-05,370.0
3.089349988847971,7.059738247913123e-05,439.0
3.4598774276673794,8.339856245812774e-05,438.0
4.112869139760733,4.5052289834961304e-05,392.0
4.906432457268238,6.247315855954587e-05,394.0
3.505211718380451,3.0960687336295845e-05,389.0
3.549359345808625,3.834290404130519e-05,397.0
4.8983866814523935,7.204394116324187e-05,402.0
4.066705925390124,1.9622123234689237e-05,362.0
3.4699378442019224,5.5781962017312654e-05,417.0
3.1060940232127905,5.9932710102543235e-05,430.0
4.447120746597648,2.363160916861892e-05,360.0
4.525780292227864,7.61756303280294e-05,411.0
3.9366447050124407,4.233760299418867e-05,393.0
3.807284342125058,2.916427058425546e-05,380.0
4.65607194788754,6.314168682579697e-05,399.0
4.324636226519942,4.56825808275193e-05,388.0
3.227617686614394,8.157192346897721e-05,443.0
3.3481448870152235,6.883513133299351e-05,431.0
4.189430175349116,3.281040951867402e-05,376.0
4.767844567075372,5.038550198335946e-05,385.0
3.6789406035095453,1.6276978508353234e-05,366.0
3.7479750011116266,7.861136405055225e-05,428.0
4.836505005136132,4.053399374035001e-05,374.0
4.135898230597377,5.7976554383307695e-05,404.0
3.295231042429805,2.6186110212251546e-05,389.0
3.1599330957978964,2.144262440760434e-05,387.0
4.256578152999282,5.3363115520000464e-05,397.0
4.7080089915543795,3.5771515250921255e-05,370.0
3.8598390091210604,7.39832054849416e-05,422.0
3.9900468308478594,5.2205137529194365e-05,401.0
4.578823955729604,1.3859399224415422e-05,343.0
4.377972027286887,6.626247715462745e-05,406.0
3.037547906860709,3.4750539728224276e-05,407.0
3.41787145845592,4.811745257374645e-05,411.0
4.014280600473285,7.976957569156587e-05,423.0
4.965956473723054,2.7206852084741e-05,355.0
3.617532217875123,6.569704906341435e-05,421.0
3.6027424540370703,1.4710857870772481e-05,366.0
4.949511488899589,5.3062470809340476e-05,385.0
4.031191321089864,3.5602198646187785e-05,383.0
3.432164939120412,6.712001070638002e-05,427.0
3.053825283423066,8.000580048446358e-05,447.0
4.392959916964173,4.835955200043321e-05,390.0
4.5643013548105955,6.593347412791849e-05,403.0
3.973273677751422,2.7449151783034208e-05,374.0
